Photo URL,Date,Text
https://t.me/CheMed123\photos/photo_1@05-09-2022_12-57-09.jpg,2022-09-05T12:57:09,መድሀኒትዎን ለማግኘት ዘመናዊው መንገድ ነው፡፡ በድረገጻችን አማካኝነት መድኃኒትዎን ከፈለጉት ቦታ ይዘዙ ያሉበት ቦታ መድሃኒትዎን እናደርስልዎታለን፡፡
https://t.me/CheMed123\photos/photo_2@05-09-2022_13-02-05.jpg,2022-09-05T13:02:05,
https://t.me/CheMed123\photos/photo_3@05-09-2022_13-02-24.jpg,2022-09-05T13:02:24,
https://t.me/CheMed123\photos/photo_1@05-09-2022_12-57-09.jpg,2022-09-06T07:26:15,መድሀኒትዎን ለማግኘት ዘመናዊው መንገድ ነው፡፡ በድረገጻችን አማካኝነት መድኃኒትዎን ከፈለጉት ቦታ ይዘዙ ያሉበት ቦታ መድሃኒትዎን እናደርስልዎታለን፡፡
https://t.me/CheMed123\photos/photo_5@07-09-2022_12-16-40.jpg,2022-09-07T12:16:40,Why spend time searching for medications? Visit to have your medication delivered to your door.
https://t.me/CheMed123\photos/photo_6@10-09-2022_18-55-25.jpg,2022-09-10T18:55:25,"🌼🌼🌼 መልካም አዲስ ዓመት 🌼🌼🌼

የምስራች!! በአዲሱ አመት አዲስ ነገር ለጤናዎ፡፡ ከእንግዲህ መድሃኒት ፍለጋ መንከራተትና መሰለፍ አይኖርብዎትም፡፡ በመግባት ሞባይልዎን ተጠቅመው የሚፈልጉት መድሃኒት ቤትዎ ድረስ ይዘዙ!

🌼🌼🌼 መልካም አዲስ ዓመት 🌼🌼🌼"
https://t.me/CheMed123\photos/photo_7@16-09-2022_10-42-31.jpg,2022-09-16T10:42:31,"Say goodbye to the hustle of trying to find medications! 

Chemed has brought to you the modern way to find your meds. Go to to order your medications or upload your prescriptions and get them delivered to you within less than 30 minutes.

You can also reach out to our Pharmacists at ."
https://t.me/CheMed123\photos/photo_8@28-09-2022_08-45-31.jpg,2022-09-28T08:45:31,CheMed    +2519603463
https://t.me/CheMed123\photos/photo_9@30-09-2022_10-33-42.jpg,2022-09-30T10:33:42,For more information contact our pharmacists at You can still schedule orders and get information about medications.
https://t.me/CheMed123\photos/photo_10@03-10-2022_08-16-30.jpg,2022-10-03T08:16:30,"መድሀኒት ቤትዎ ድረስ! 

መድሀኒት በመፈለግ ጊዜዎንና ጉልበትዎን አያባክኑ:: ድረገጻችንን በመጠቀም መድኃኒት ከፈለጉት ቦታ ይዘዙ ያሉበት ቦታ እናደርስልዎታለን፡፡ 

30 ደቂቃ፡ በሃኪም የታዘዘልዎትን መድሃኒት ቤትዎ
ለማድረሰ የሚፈጅብን ጊዜ ነው፡፡  The delivery fee is fixed at 100 ETB"
https://t.me/CheMed123\photos/photo_11@06-10-2022_12-23-46.jpg,2022-10-06T12:23:46,በቀን ሁለት ጊዜ፣ ሶስት ጊዜ ወይም አራት ጊዜ መድሃኒት ሲታዘዝልን አንዴት መዉሰድ ይኖርብናል?
https://t.me/CheMed123\photos/photo_12@12-10-2022_17-14-19.jpg,2022-10-12T17:14:19,"K E N E M A  P H A R M A C I E S  E N T E R P R I S E  a n d  C H E M E D  B Y  K I F I Y A  F I N A N C I A L T E C H N O L O G I E S  P L C :  A  p a r t n e r s h i p  f o r  p h a r m a c e u t i c a l  s e c t o r  d i g i t a l i z a t i o n   W e  a r e  e x c i t e d  t o  a n n o u n c e  t h a t  C h e m e d ,  a  s u b s i d i a r y  o f  K i f i y a  F i n a c i a l  T e c h n o l o g i e s ,  i s  p a r t n e r i n g  u p  w i t h  K e n e m a  P h a r m a c i e s  E n t e r p r i s e .  O u r  c o l l a b o r a t i o n  w i l l  f o c u s  o n  t h e  f o l l o w i n g ;   1 .  E n h a n c e  K e n e m a ' s  d i g i t a l i z a t i o n  o f  i t s  i n v e n t o r y  a n d  w a r e h o u s e  m a n a g e m e n t  s y s t e m ;  2 .  M a k e  m e d i c a t i o n  p u r c h a s e  d a t a - d r i v e n  a n d  n e e d - b a s e d ;  3 .  P r o v i d e  a  d i g i t a l  m e d i c a t i o n  m a t c h m a k i n g  a n d  d e l i v e r y  p l a t f o r m ;   T h i s  p a r t n e r s h i p  w i l l  b o o s t  K e n e m a ' s  c u r r e n t  r e f o r m s  a n d  e n a b l e  a n  a l t e r n a t i v e  p l a t f o r m  f o r  c l i e n t s  t o  a c c e s s  m e d i c a t i o n s  f r o m  K e n e m a  e a s i l y  a n d  c o n v e n i e n t l y . '"
